,Date,Month,Year,> Queensland ;  Unemployment rate ;  Persons ;,> Queensland ;  Unemployment rate ;  > Males ;,> Queensland ;  Unemployment rate ;  > Females ;
199,Feb-08,Feb,2008,4.3,3.7,5.1
200,Mar-08,Mar,2008,4.1,3.6,4.7
201,Apr-08,Apr,2008,3.8,3.4,4.3
202,May-08,May,2008,3.8,3.3,4.4
203,Jun-08,Jun,2008,3.7,3.2,4.2
204,Jul-08,Jul,2008,3.4,2.6,4.3
205,Aug-08,Aug,2008,3.0,2.8,3.3
206,Sep-08,Sep,2008,3.6,3.5,3.8
207,Oct-08,Oct,2008,3.4,3.3,3.6
208,Nov-08,Nov,2008,3.5,3.7,3.2
209,Dec-08,Dec,2008,3.7,3.9,3.4
210,Jan-09,Jan,2009,5.1,5.5,4.5
211,Feb-09,Feb,2009,5.3,5.6,4.9
212,Mar-09,Mar,2009,5.4,5.6,5.2
213,Apr-09,Apr,2009,5.0,5.4,4.5
214,May-09,May,2009,5.4,5.9,4.8
215,Jun-09,Jun,2009,5.4,5.9,4.9
216,Jul-09,Jul,2009,5.2,5.3,5.0
217,Aug-09,Aug,2009,5.0,5.0,5.0
218,Sep-09,Sep,2009,6.1,6.0,6.2
219,Oct-09,Oct,2009,5.3,5.6,4.9
220,Nov-09,Nov,2009,5.4,5.5,5.2
221,Dec-09,Dec,2009,5.5,5.7,5.3
222,Jan-10,Jan,2010,6.1,6.2,6.0
223,Feb-10,Feb,2010,6.6,6.7,6.3
224,Mar-10,Mar,2010,6.1,6.1,6.2
225,Apr-10,Apr,2010,5.7,5.5,5.9
226,May-10,May,2010,5.6,5.3,6.0
227,Jun-10,Jun,2010,5.1,4.9,5.4
228,Jul-10,Jul,2010,5.0,4.4,5.8
229,Aug-10,Aug,2010,4.9,4.6,5.2
230,Sep-10,Sep,2010,5.2,4.9,5.6
231,Oct-10,Oct,2010,5.0,4.9,5.1
232,Nov-10,Nov,2010,4.9,4.8,5.1
233,Dec-10,Dec,2010,5.6,5.5,5.8
234,Jan-11,Jan,2011,6.1,6.1,6.0
235,Feb-11,Feb,2011,6.5,6.2,6.9
236,Mar-11,Mar,2011,6.1,5.9,6.3
237,Apr-11,Apr,2011,5.2,5.3,5.2
238,May-11,May,2011,5.3,5.3,5.3
239,Jun-11,Jun,2011,5.1,4.6,5.6
240,Jul-11,Jul,2011,5.2,5.0,5.3
241,Aug-11,Aug,2011,5.7,5.6,6.0
242,Sep-11,Sep,2011,5.2,5.3,5.1
243,Oct-11,Oct,2011,5.1,5.1,5.1
244,Nov-11,Nov,2011,5.1,4.9,5.4
245,Dec-11,Dec,2011,5.1,4.7,5.4
246,Jan-12,Jan,2012,5.9,5.7,6.2
247,Feb-12,Feb,2012,6.7,6.7,6.7
248,Mar-12,Mar,2012,6.1,5.7,6.6
249,Apr-12,Apr,2012,5.1,5.1,5.2
250,May-12,May,2012,5.8,5.6,6.0
251,Jun-12,Jun,2012,5.0,4.7,5.4
252,Jul-12,Jul,2012,5.5,4.9,6.1
253,Aug-12,Aug,2012,5.6,5.5,5.8
254,Sep-12,Sep,2012,6.2,6.2,6.2
255,Oct-12,Oct,2012,5.7,6.0,5.3
256,Nov-12,Nov,2012,5.5,5.6,5.4
257,Dec-12,Dec,2012,6.0,6.2,5.7
258,Jan-13,Jan,2013,6.0,6.3,5.6
259,Feb-13,Feb,2013,6.8,6.9,6.5
260,Mar-13,Mar,2013,6.5,6.8,6.1
261,Apr-13,Apr,2013,5.4,5.6,5.2
262,May-13,May,2013,5.8,5.9,5.7
263,Jun-13,Jun,2013,6.1,6.4,5.8
264,Jul-13,Jul,2013,5.4,5.7,5.1
265,Aug-13,Aug,2013,5.6,5.8,5.3
266,Sep-13,Sep,2013,5.8,5.8,5.9
267,Oct-13,Oct,2013,5.5,5.6,5.4
268,Nov-13,Nov,2013,5.2,5.4,5.0
269,Dec-13,Dec,2013,5.9,6.3,5.4
270,Jan-14,Jan,2014,6.6,6.6,6.5
271,Feb-14,Feb,2014,7.3,7.3,7.2
272,Mar-14,Mar,2014,6.7,6.6,6.7
273,Apr-14,Apr,2014,6.1,6.1,6.1
274,May-14,May,2014,6.1,5.9,6.4
275,Jun-14,Jun,2014,6.2,6.0,6.4
276,Jul-14,Jul,2014,6.4,6.7,6.1
277,Aug-14,Aug,2014,6.4,6.6,6.1
278,Sep-14,Sep,2014,6.2,5.9,6.6
279,Oct-14,Oct,2014,6.7,6.7,6.8
280,Nov-14,Nov,2014,6.2,6.3,6.2
281,Dec-14,Dec,2014,6.0,6.1,5.8
282,Jan-15,Jan,2015,6.9,7.3,6.4
283,Feb-15,Feb,2015,7.4,7.9,6.8
284,Mar-15,Mar,2015,7.2,7.3,7.1
285,Apr-15,Apr,2015,6.4,6.7,6.1
286,May-15,May,2015,6.2,6.7,5.6
287,Jun-15,Jun,2015,5.9,6.6,5.1
288,Jul-15,Jul,2015,6.2,6.7,5.6
289,Aug-15,Aug,2015,6.3,7.1,5.3
290,Sep-15,Sep,2015,6.1,6.4,5.7
291,Oct-15,Oct,2015,5.9,6.3,5.3
292,Nov-15,Nov,2015,5.4,5.5,5.3
293,Dec-15,Dec,2015,5.5,5.7,5.3
294,Jan-16,Jan,2016,6.9,7.4,6.3
295,Feb-16,Feb,2016,6.2,5.8,6.7
296,Mar-16,Mar,2016,6.7,6.9,6.4
297,Apr-16,Apr,2016,6.4,6.5,6.3
298,May-16,May,2016,6.3,6.2,6.3
299,Jun-16,Jun,2016,6.3,6.4,6.1
300,Jul-16,Jul,2016,5.8,5.8,5.8
301,Aug-16,Aug,2016,6.1,6.1,6.1
302,Sep-16,Sep,2016,6.1,5.8,6.4
303,Oct-16,Oct,2016,5.5,5.7,5.2
304,Nov-16,Nov,2016,5.4,5.5,5.2
305,Dec-16,Dec,2016,5.8,6.1,5.4
306,Jan-17,Jan,2017,6.6,6.7,6.6
307,Feb-17,Feb,2017,7.5,7.6,7.4
308,Mar-17,Mar,2017,6.8,6.8,6.8
309,Apr-17,Apr,2017,6.2,6.3,6.2
310,May-17,May,2017,6.0,6.2,5.8
311,Jun-17,Jun,2017,6.4,6.5,6.3
312,Jul-17,Jul,2017,5.9,6.1,5.7
313,Aug-17,Aug,2017,5.6,5.5,5.7
314,Sep-17,Sep,2017,5.7,5.8,5.6
315,Oct-17,Oct,2017,5.5,5.6,5.5
316,Nov-17,Nov,2017,5.2,5.5,4.9
317,Dec-17,Dec,2017,5.6,6.1,5.1
318,Jan-18,Jan,2018,6.5,6.7,6.2
319,Feb-18,Feb,2018,7.0,6.8,7.2
320,Mar-18,Mar,2018,6.6,6.5,6.7
321,Apr-18,Apr,2018,6.6,6.6,6.7
322,May-18,May,2018,6.2,6.0,6.5
323,Jun-18,Jun,2018,5.9,5.8,6.0
324,Jul-18,Jul,2018,5.9,5.9,6.0
325,Aug-18,Aug,2018,6.3,6.2,6.4
326,Sep-18,Sep,2018,5.8,5.8,5.9
327,Oct-18,Oct,2018,5.8,5.9,5.8
328,Nov-18,Nov,2018,5.7,5.7,5.6
329,Dec-18,Dec,2018,5.6,5.6,5.7
330,Jan-19,Jan,2019,6.5,5.7,7.3
331,Feb-19,Feb,2019,6.1,5.7,6.5
332,Mar-19,Mar,2019,6.6,6.3,7.0
333,Apr-19,Apr,2019,6.1,6.2,6.0
334,May-19,May,2019,6.3,6.5,6.1
335,Jun-19,Jun,2019,6.6,6.6,6.5
336,Jul-19,Jul,2019,6.2,6.5,5.8
337,Aug-19,Aug,2019,6.3,6.9,5.7
338,Sep-19,Sep,2019,6.3,7.5,5.0
339,Oct-19,Oct,2019,6.0,7.1,4.9
340,Nov-19,Nov,2019,5.6,6.0,5.1
341,Dec-19,Dec,2019,5.3,6.1,4.4
342,Jan-20,Jan,2020,6.7,7.2,6.2
343,Feb-20,Feb,2020,6.1,6.6,5.5
344,Mar-20,Mar,2020,6.1,6.2,6.1
345,Apr-20,Apr,2020,7.2,7.6,6.7
346,May-20,May,2020,7.9,8.2,7.5
347,Jun-20,Jun,2020,7.9,8.4,7.3
348,Jul-20,Jul,2020,8.6,9.0,8.1
349,Aug-20,Aug,2020,7.2,8.4,5.9
350,Sep-20,Sep,2020,7.3,8.2,6.2
351,Oct-20,Oct,2020,7.3,7.6,6.9
352,Nov-20,Nov,2020,6.9,7.1,6.6
