,Date,Month,Year,> South Australia ;  Unemployment rate ;  Persons ;,> South Australia ;  Unemployment rate ;  > Males ;,> South Australia ;  Unemployment rate ;  > Females ;
148,Nov-03,Nov,2003,5.8,6.3,5.3
149,Dec-03,Dec,2003,6.2,6.6,5.7
150,Jan-04,Jan,2004,6.9,6.7,7.3
151,Feb-04,Feb,2004,7.1,7.0,7.1
152,Mar-04,Mar,2004,5.7,5.8,5.5
153,Apr-04,Apr,2004,5.9,6.4,5.2
154,May-04,May,2004,6.0,6.3,5.6
155,Jun-04,Jun,2004,6.1,6.1,6.1
156,Jul-04,Jul,2004,5.8,5.7,5.9
157,Aug-04,Aug,2004,6.0,6.3,5.6
158,Sep-04,Sep,2004,5.8,6.3,5.2
159,Oct-04,Oct,2004,5.5,5.8,5.2
160,Nov-04,Nov,2004,4.8,5.0,4.5
161,Dec-04,Dec,2004,4.9,5.1,4.7
162,Jan-05,Jan,2005,6.4,6.6,6.2
163,Feb-05,Feb,2005,5.9,6.2,5.5
164,Mar-05,Mar,2005,5.5,5.3,5.7
165,Apr-05,Apr,2005,5.3,5.2,5.4
166,May-05,May,2005,5.3,5.4,5.1
167,Jun-05,Jun,2005,5.2,5.0,5.3
168,Jul-05,Jul,2005,4.3,4.7,3.8
169,Aug-05,Aug,2005,4.8,5.3,4.1
170,Sep-05,Sep,2005,4.7,5.3,4.1
171,Oct-05,Oct,2005,4.7,5.4,3.9
172,Nov-05,Nov,2005,4.4,5.0,3.6
173,Dec-05,Dec,2005,4.7,4.8,4.7
174,Jan-06,Jan,2006,5.3,5.8,4.6
175,Feb-06,Feb,2006,5.5,5.6,5.3
176,Mar-06,Mar,2006,5.2,5.5,4.9
177,Apr-06,Apr,2006,5.1,5.6,4.6
178,May-06,May,2006,5.0,5.4,4.6
179,Jun-06,Jun,2006,4.5,4.6,4.4
180,Jul-06,Jul,2006,4.6,4.2,4.9
181,Aug-06,Aug,2006,4.7,4.7,4.7
182,Sep-06,Sep,2006,4.7,4.6,4.8
183,Oct-06,Oct,2006,4.5,4.2,4.8
184,Nov-06,Nov,2006,4.9,5.3,4.5
185,Dec-06,Dec,2006,5.4,5.6,5.1
186,Jan-07,Jan,2007,6.2,6.8,5.5
187,Feb-07,Feb,2007,5.6,6.1,5.1
188,Mar-07,Mar,2007,5.2,5.3,5.0
189,Apr-07,Apr,2007,5.3,5.4,5.1
190,May-07,May,2007,4.7,5.0,4.4
191,Jun-07,Jun,2007,4.7,4.9,4.5
192,Jul-07,Jul,2007,4.6,4.8,4.3
193,Aug-07,Aug,2007,4.6,4.7,4.5
194,Sep-07,Sep,2007,4.6,4.5,4.7
195,Oct-07,Oct,2007,5.3,5.7,4.8
196,Nov-07,Nov,2007,4.5,4.6,4.5
197,Dec-07,Dec,2007,4.9,5.1,4.6
198,Jan-08,Jan,2008,5.2,5.1,5.2
199,Feb-08,Feb,2008,5.1,4.8,5.4
200,Mar-08,Mar,2008,4.7,5.1,4.1
201,Apr-08,Apr,2008,5.0,4.7,5.4
202,May-08,May,2008,5.1,5.1,5.1
203,Jun-08,Jun,2008,4.5,4.5,4.5
204,Jul-08,Jul,2008,4.4,3.9,4.9
205,Aug-08,Aug,2008,4.3,3.8,4.8
206,Sep-08,Sep,2008,5.6,6.0,5.1
207,Oct-08,Oct,2008,5.2,4.9,5.5
208,Nov-08,Nov,2008,5.1,4.9,5.3
209,Dec-08,Dec,2008,5.3,4.9,5.9
210,Jan-09,Jan,2009,6.4,6.1,6.7
211,Feb-09,Feb,2009,6.4,6.6,6.0
212,Mar-09,Mar,2009,6.2,6.7,5.6
213,Apr-09,Apr,2009,5.7,6.3,5.1
214,May-09,May,2009,5.4,6.1,4.6
215,Jun-09,Jun,2009,5.2,5.7,4.6
216,Jul-09,Jul,2009,5.1,5.6,4.6
217,Aug-09,Aug,2009,5.7,6.2,5.1
218,Sep-09,Sep,2009,5.6,6.2,4.8
219,Oct-09,Oct,2009,5.1,5.4,4.8
220,Nov-09,Nov,2009,5.3,5.5,4.9
221,Dec-09,Dec,2009,5.3,4.8,5.8
222,Jan-10,Jan,2010,4.9,4.4,5.5
223,Feb-10,Feb,2010,5.3,5.2,5.4
224,Mar-10,Mar,2010,5.8,5.6,6.0
225,Apr-10,Apr,2010,6.0,5.7,6.2
226,May-10,May,2010,5.3,5.6,5.0
227,Jun-10,Jun,2010,5.1,5.0,5.2
228,Jul-10,Jul,2010,4.6,4.7,4.5
229,Aug-10,Aug,2010,5.2,5.4,4.9
230,Sep-10,Sep,2010,5.4,5.6,5.2
231,Oct-10,Oct,2010,5.6,5.8,5.3
232,Nov-10,Nov,2010,5.3,5.2,5.4
233,Dec-10,Dec,2010,5.5,5.4,5.5
234,Jan-11,Jan,2011,5.9,5.7,6.1
235,Feb-11,Feb,2011,6.5,6.1,6.8
236,Mar-11,Mar,2011,5.7,5.5,5.9
237,Apr-11,Apr,2011,5.6,5.8,5.5
238,May-11,May,2011,5.3,5.3,5.3
239,Jun-11,Jun,2011,4.7,5.0,4.4
240,Jul-11,Jul,2011,4.7,4.7,4.7
241,Aug-11,Aug,2011,4.8,5.3,4.3
242,Sep-11,Sep,2011,5.5,5.7,5.4
243,Oct-11,Oct,2011,5.2,5.6,4.7
244,Nov-11,Nov,2011,5.0,5.4,4.6
245,Dec-11,Dec,2011,5.2,5.4,5.1
246,Jan-12,Jan,2012,5.6,5.6,5.5
247,Feb-12,Feb,2012,5.9,6.2,5.6
248,Mar-12,Mar,2012,5.5,5.5,5.5
249,Apr-12,Apr,2012,5.4,5.6,5.2
250,May-12,May,2012,5.1,5.2,4.9
251,Jun-12,Jun,2012,5.9,6.0,5.8
252,Jul-12,Jul,2012,4.8,4.7,4.9
253,Aug-12,Aug,2012,5.5,6.2,4.6
254,Sep-12,Sep,2012,5.6,6.1,5.1
255,Oct-12,Oct,2012,5.6,5.9,5.2
256,Nov-12,Nov,2012,5.2,5.1,5.2
257,Dec-12,Dec,2012,5.8,6.0,5.5
258,Jan-13,Jan,2013,6.6,6.5,6.9
259,Feb-13,Feb,2013,6.5,6.9,6.0
260,Mar-13,Mar,2013,6.2,6.2,6.1
261,Apr-13,Apr,2013,6.1,5.8,6.4
262,May-13,May,2013,5.8,5.9,5.7
263,Jun-13,Jun,2013,5.6,5.6,5.5
264,Jul-13,Jul,2013,6.4,6.4,6.4
265,Aug-13,Aug,2013,6.6,7.0,6.2
266,Sep-13,Sep,2013,5.9,6.5,5.1
267,Oct-13,Oct,2013,6.7,7.6,5.6
268,Nov-13,Nov,2013,6.6,6.7,6.6
269,Dec-13,Dec,2013,6.8,7.1,6.3
270,Jan-14,Jan,2014,7.2,7.4,7.0
271,Feb-14,Feb,2014,7.4,7.3,7.4
272,Mar-14,Mar,2014,7.5,7.5,7.6
273,Apr-14,Apr,2014,6.4,6.9,5.8
274,May-14,May,2014,6.6,6.5,6.8
275,Jun-14,Jun,2014,6.8,7.5,5.9
276,Jul-14,Jul,2014,6.7,7.2,6.2
277,Aug-14,Aug,2014,5.7,6.0,5.3
278,Sep-14,Sep,2014,6.5,6.8,6.1
279,Oct-14,Oct,2014,6.7,7.0,6.3
280,Nov-14,Nov,2014,6.4,5.9,6.9
281,Dec-14,Dec,2014,6.5,6.2,6.9
282,Jan-15,Jan,2015,8.1,7.7,8.6
283,Feb-15,Feb,2015,7.2,7.0,7.5
284,Mar-15,Mar,2015,6.6,6.4,6.9
285,Apr-15,Apr,2015,7.1,7.3,6.9
286,May-15,May,2015,7.6,7.5,7.6
287,Jun-15,Jun,2015,7.9,9.1,6.6
288,Jul-15,Jul,2015,7.9,8.7,7.0
289,Aug-15,Aug,2015,7.7,8.9,6.3
290,Sep-15,Sep,2015,7.4,8.5,6.1
291,Oct-15,Oct,2015,7.5,8.0,7.0
292,Nov-15,Nov,2015,6.9,7.2,6.5
293,Dec-15,Dec,2015,6.9,7.0,6.8
294,Jan-16,Jan,2016,7.2,7.3,7.1
295,Feb-16,Feb,2016,7.9,7.9,7.9
296,Mar-16,Mar,2016,7.3,7.3,7.3
297,Apr-16,Apr,2016,6.5,6.7,6.3
298,May-16,May,2016,6.8,7.4,6.1
299,Jun-16,Jun,2016,7.0,7.1,6.8
300,Jul-16,Jul,2016,6.3,7.0,5.6
301,Aug-16,Aug,2016,6.7,7.0,6.4
302,Sep-16,Sep,2016,6.5,7.3,5.7
303,Oct-16,Oct,2016,6.4,6.7,6.1
304,Nov-16,Nov,2016,6.6,7.0,6.2
305,Dec-16,Dec,2016,6.5,7.5,5.4
306,Jan-17,Jan,2017,6.8,7.0,6.5
307,Feb-17,Feb,2017,7.0,7.0,6.9
308,Mar-17,Mar,2017,7.4,7.4,7.3
309,Apr-17,Apr,2017,7.1,6.1,8.3
310,May-17,May,2017,6.9,6.7,7.0
311,Jun-17,Jun,2017,6.4,5.7,7.2
312,Jul-17,Jul,2017,6.1,5.8,6.3
313,Aug-17,Aug,2017,5.5,5.3,5.7
314,Sep-17,Sep,2017,5.6,5.3,5.8
315,Oct-17,Oct,2017,5.7,5.5,5.8
316,Nov-17,Nov,2017,5.9,5.5,6.4
317,Dec-17,Dec,2017,5.8,5.4,6.2
318,Jan-18,Jan,2018,6.3,6.5,6.1
319,Feb-18,Feb,2018,6.7,6.8,6.7
320,Mar-18,Mar,2018,5.8,5.9,5.7
321,Apr-18,Apr,2018,5.9,5.7,6.0
322,May-18,May,2018,5.6,6.1,5.1
323,Jun-18,Jun,2018,5.3,5.9,4.6
324,Jul-18,Jul,2018,5.5,5.9,5.2
325,Aug-18,Aug,2018,5.5,5.7,5.3
326,Sep-18,Sep,2018,5.3,5.5,5.0
327,Oct-18,Oct,2018,5.3,5.2,5.4
328,Nov-18,Nov,2018,5.2,5.7,4.6
329,Dec-18,Dec,2018,5.8,6.1,5.5
330,Jan-19,Jan,2019,6.8,6.9,6.7
331,Feb-19,Feb,2019,6.2,6.4,5.9
332,Mar-19,Mar,2019,6.2,6.7,5.6
333,Apr-19,Apr,2019,6.2,6.3,6.2
334,May-19,May,2019,5.6,6.1,5.1
335,Jun-19,Jun,2019,5.8,6.3,5.2
336,Jul-19,Jul,2019,6.9,7.8,5.8
337,Aug-19,Aug,2019,7.2,7.8,6.5
338,Sep-19,Sep,2019,6.0,6.6,5.3
339,Oct-19,Oct,2019,6.0,6.3,5.6
340,Nov-19,Nov,2019,6.1,6.0,6.1
341,Dec-19,Dec,2019,6.1,7.3,4.8
342,Jan-20,Jan,2020,6.0,6.0,6.1
343,Feb-20,Feb,2020,6.2,6.5,5.9
344,Mar-20,Mar,2020,6.5,6.7,6.3
345,Apr-20,Apr,2020,7.2,8.9,5.3
346,May-20,May,2020,7.8,8.3,7.2
347,Jun-20,Jun,2020,8.4,8.3,8.5
348,Jul-20,Jul,2020,8.0,8.4,7.5
349,Aug-20,Aug,2020,7.6,8.0,7.2
350,Sep-20,Sep,2020,6.6,6.7,6.5
351,Oct-20,Oct,2020,6.7,6.5,7.0
352,Nov-20,Nov,2020,6.1,5.8,6.5
