,Date,Month,Year,> Western Australia ;  Unemployment rate ;  Persons ;,> Western Australia ;  Unemployment rate ;  > Males ;,> Western Australia ;  Unemployment rate ;  > Females ;
87,Oct-98,Oct,1998,5.9,6.6,5.0
88,Nov-98,Nov,1998,6.1,6.6,5.3
89,Dec-98,Dec,1998,6.6,7.2,5.7
90,Jan-99,Jan,1999,7.1,7.5,6.7
91,Feb-99,Feb,1999,7.6,7.7,7.6
92,Mar-99,Mar,1999,7.0,7.0,6.9
93,Apr-99,Apr,1999,6.8,6.6,7.1
94,May-99,May,1999,6.2,6.5,5.7
95,Jun-99,Jun,1999,6.1,6.8,5.2
96,Jul-99,Jul,1999,5.5,6.3,4.6
97,Aug-99,Aug,1999,5.9,6.5,5.2
98,Sep-99,Sep,1999,6.5,7.1,5.9
99,Oct-99,Oct,1999,6.1,6.7,5.3
100,Nov-99,Nov,1999,6.2,6.7,5.5
101,Dec-99,Dec,1999,6.0,6.4,5.4
102,Jan-00,Jan,2000,7.4,8.1,6.4
103,Feb-00,Feb,2000,7.1,7.4,6.6
104,Mar-00,Mar,2000,6.6,6.6,6.5
105,Apr-00,Apr,2000,6.4,6.0,6.9
106,May-00,May,2000,5.6,5.6,5.6
107,Jun-00,Jun,2000,5.3,5.5,5.0
108,Jul-00,Jul,2000,5.3,5.7,4.9
109,Aug-00,Aug,2000,5.7,6.5,4.7
110,Sep-00,Sep,2000,5.5,6.6,4.2
111,Oct-00,Oct,2000,5.4,6.2,4.4
112,Nov-00,Nov,2000,5.9,6.3,5.4
113,Dec-00,Dec,2000,5.6,6.4,4.7
114,Jan-01,Jan,2001,6.5,7.2,5.7
115,Feb-01,Feb,2001,7.3,8.0,6.5
116,Mar-01,Mar,2001,7.4,8.0,6.7
117,Apr-01,Apr,2001,7.0,7.1,6.8
118,May-01,May,2001,7.1,6.9,7.4
119,Jun-01,Jun,2001,8.0,8.2,7.8
120,Jul-01,Jul,2001,6.8,7.3,6.2
121,Aug-01,Aug,2001,6.6,7.5,5.4
122,Sep-01,Sep,2001,7.2,7.8,6.4
123,Oct-01,Oct,2001,6.5,7.1,5.8
124,Nov-01,Nov,2001,6.2,6.5,5.7
125,Dec-01,Dec,2001,6.1,6.6,5.5
126,Jan-02,Jan,2002,8.0,8.0,8.0
127,Feb-02,Feb,2002,7.3,7.5,7.0
128,Mar-02,Mar,2002,6.0,6.2,5.7
129,Apr-02,Apr,2002,6.4,7.1,5.5
130,May-02,May,2002,6.4,7.1,5.5
131,Jun-02,Jun,2002,5.5,5.9,4.9
132,Jul-02,Jul,2002,5.4,6.3,4.2
133,Aug-02,Aug,2002,6.1,6.7,5.3
134,Sep-02,Sep,2002,6.5,7.4,5.4
135,Oct-02,Oct,2002,5.6,6.0,5.2
136,Nov-02,Nov,2002,5.6,6.3,4.6
137,Dec-02,Dec,2002,6.0,6.0,5.9
138,Jan-03,Jan,2003,6.9,7.3,6.3
139,Feb-03,Feb,2003,6.4,6.8,5.8
140,Mar-03,Mar,2003,5.9,5.8,5.9
141,Apr-03,Apr,2003,6.0,6.3,5.7
142,May-03,May,2003,5.6,5.6,5.5
143,Jun-03,Jun,2003,5.3,5.6,5.0
144,Jul-03,Jul,2003,5.6,5.5,5.7
145,Aug-03,Aug,2003,5.9,5.9,5.8
146,Sep-03,Sep,2003,6.2,6.7,5.6
147,Oct-03,Oct,2003,5.7,5.8,5.5
148,Nov-03,Nov,2003,5.7,5.5,6.0
149,Dec-03,Dec,2003,5.6,4.9,6.6
150,Jan-04,Jan,2004,6.3,6.0,6.7
151,Feb-04,Feb,2004,6.2,5.5,7.2
152,Mar-04,Mar,2004,5.6,5.1,6.2
153,Apr-04,Apr,2004,5.3,5.0,5.8
154,May-04,May,2004,5.3,4.8,5.9
155,Jun-04,Jun,2004,5.0,4.4,5.7
156,Jul-04,Jul,2004,4.7,4.2,5.3
157,Aug-04,Aug,2004,4.7,4.6,5.0
158,Sep-04,Sep,2004,5.0,4.4,5.8
