,Date,Month,Year,> Australian Capital Territory ;  Unemployment rate ;  Persons ;,> Australian Capital Territory ;  Unemployment rate ;  > Males ;,> Australian Capital Territory ;  Unemployment rate ;  > Females ;
48,Jul-95,Jul,1995,6.2,6.7,5.7
49,Aug-95,Aug,1995,6.9,7.9,5.7
50,Sep-95,Sep,1995,6.2,6.6,5.6
51,Oct-95,Oct,1995,5.8,6.4,5.2
52,Nov-95,Nov,1995,6.7,7.0,6.5
53,Dec-95,Dec,1995,7.1,7.0,7.2
54,Jan-96,Jan,1996,8.2,9.0,7.3
55,Feb-96,Feb,1996,8.7,8.2,9.2
56,Mar-96,Mar,1996,8.7,9.4,7.9
57,Apr-96,Apr,1996,8.5,8.8,8.0
58,May-96,May,1996,8.1,8.8,7.4
59,Jun-96,Jun,1996,7.5,8.0,6.9
60,Jul-96,Jul,1996,7.9,8.4,7.4
61,Aug-96,Aug,1996,8.6,9.0,8.2
62,Sep-96,Sep,1996,7.8,7.8,7.9
63,Oct-96,Oct,1996,7.7,8.3,7.0
64,Nov-96,Nov,1996,7.5,7.0,8.2
65,Dec-96,Dec,1996,8.4,9.5,7.1
66,Jan-97,Jan,1997,9.0,9.8,8.2
67,Feb-97,Feb,1997,9.2,9.8,8.6
68,Mar-97,Mar,1997,7.9,9.5,6.2
69,Apr-97,Apr,1997,7.6,8.0,7.1
70,May-97,May,1997,7.3,7.0,7.6
71,Jun-97,Jun,1997,7.5,7.9,7.1
72,Jul-97,Jul,1997,6.5,6.7,6.4
73,Aug-97,Aug,1997,7.8,8.2,7.3
74,Sep-97,Sep,1997,7.4,7.3,7.4
75,Oct-97,Oct,1997,7.3,8.5,5.8
76,Nov-97,Nov,1997,7.0,7.4,6.5
77,Dec-97,Dec,1997,7.4,7.7,6.9
78,Jan-98,Jan,1998,8.3,8.8,7.8
79,Feb-98,Feb,1998,8.4,8.8,8.0
80,Mar-98,Mar,1998,7.7,8.9,6.4
81,Apr-98,Apr,1998,7.0,7.4,6.5
82,May-98,May,1998,6.9,7.5,6.2
83,Jun-98,Jun,1998,5.8,7.4,4.1
84,Jul-98,Jul,1998,6.7,8.0,5.2
85,Aug-98,Aug,1998,6.3,6.8,5.7
86,Sep-98,Sep,1998,6.2,6.7,5.6
87,Oct-98,Oct,1998,5.7,6.9,4.2
88,Nov-98,Nov,1998,5.6,7.0,4.1
89,Dec-98,Dec,1998,5.7,6.6,4.5
90,Jan-99,Jan,1999,6.6,7.1,6.0
91,Feb-99,Feb,1999,6.9,6.7,7.1
92,Mar-99,Mar,1999,6.6,7.0,6.1
93,Apr-99,Apr,1999,5.6,7.0,4.0
94,May-99,May,1999,5.9,6.5,5.2
95,Jun-99,Jun,1999,4.4,5.1,3.5
96,Jul-99,Jul,1999,4.8,6.2,3.2
97,Aug-99,Aug,1999,5.3,6.6,3.8
98,Sep-99,Sep,1999,5.2,6.3,4.0
99,Oct-99,Oct,1999,5.0,5.1,4.9
100,Nov-99,Nov,1999,5.2,5.5,4.9
