,Date,Month,Year,> New South Wales ;  Unemployment rate ;  Persons ;,> New South Wales ;  Unemployment rate ;  > Males ;,> New South Wales ;  Unemployment rate ;  > Females ;
245,Dec-11,Dec,2011,5.5,4.9,6.1
246,Jan-12,Jan,2012,5.4,5.2,5.7
247,Feb-12,Feb,2012,5.7,5.2,6.3
248,Mar-12,Mar,2012,4.9,5.0,4.9
249,Apr-12,Apr,2012,5.0,4.9,5.0
250,May-12,May,2012,5.0,4.8,5.3
251,Jun-12,Jun,2012,5.1,5.1,5.1
252,Jul-12,Jul,2012,4.9,5.3,4.4
253,Aug-12,Aug,2012,4.5,4.7,4.2
254,Sep-12,Sep,2012,5.3,5.9,4.6
255,Oct-12,Oct,2012,5.0,5.0,5.1
256,Nov-12,Nov,2012,4.8,5.2,4.4
257,Dec-12,Dec,2012,4.9,4.9,5.0
258,Jan-13,Jan,2013,5.4,5.5,5.3
259,Feb-13,Feb,2013,5.8,5.8,5.9
260,Mar-13,Mar,2013,5.8,5.7,5.9
261,Apr-13,Apr,2013,5.3,5.2,5.5
262,May-13,May,2013,5.6,5.6,5.6
263,Jun-13,Jun,2013,5.3,5.1,5.5
264,Jul-13,Jul,2013,5.3,5.1,5.6
265,Aug-13,Aug,2013,5.7,5.7,5.8
266,Sep-13,Sep,2013,5.6,5.7,5.5
267,Oct-13,Oct,2013,5.8,5.7,5.8
268,Nov-13,Nov,2013,5.7,5.8,5.5
269,Dec-13,Dec,2013,5.7,5.8,5.5
270,Jan-14,Jan,2014,6.1,6.1,6.1
271,Feb-14,Feb,2014,6.4,5.7,7.1
272,Mar-14,Mar,2014,5.5,4.8,6.3
273,Apr-14,Apr,2014,5.3,5.0,5.6
274,May-14,May,2014,5.7,5.8,5.5
275,Jun-14,Jun,2014,5.6,5.7,5.5
276,Jul-14,Jul,2014,5.6,5.4,5.9
277,Aug-14,Aug,2014,5.6,5.4,5.8
278,Sep-14,Sep,2014,5.8,5.6,6.0
279,Oct-14,Oct,2014,5.7,5.4,6.1
280,Nov-14,Nov,2014,5.8,5.9,5.7
281,Dec-14,Dec,2014,5.7,5.6,5.8
282,Jan-15,Jan,2015,6.7,7.0,6.4
283,Feb-15,Feb,2015,6.6,6.3,7.0
284,Mar-15,Mar,2015,6.2,6.0,6.4
285,Apr-15,Apr,2015,5.8,5.3,6.3
286,May-15,May,2015,5.6,5.3,6.0
287,Jun-15,Jun,2015,5.6,5.2,6.1
288,Jul-15,Jul,2015,5.8,5.2,6.5
289,Aug-15,Aug,2015,5.9,5.6,6.2
290,Sep-15,Sep,2015,5.7,5.5,5.9
291,Oct-15,Oct,2015,5.4,5.1,5.6
292,Nov-15,Nov,2015,4.9,4.7,5.1
293,Dec-15,Dec,2015,4.9,4.9,5.0
294,Jan-16,Jan,2016,6.0,5.8,6.2
295,Feb-16,Feb,2016,5.6,5.3,6.0
296,Mar-16,Mar,2016,5.4,5.2,5.7
297,Apr-16,Apr,2016,5.1,4.9,5.3
298,May-16,May,2016,5.0,5.1,5.0
299,Jun-16,Jun,2016,5.0,4.6,5.5
300,Jul-16,Jul,2016,5.0,4.9,5.2
301,Aug-16,Aug,2016,5.0,4.8,5.1
302,Sep-16,Sep,2016,4.8,4.7,4.8
303,Oct-16,Oct,2016,4.7,4.4,5.2
304,Nov-16,Nov,2016,4.7,4.5,4.9
305,Dec-16,Dec,2016,5.0,4.9,5.2
306,Jan-17,Jan,2017,5.5,5.4,5.6
307,Feb-17,Feb,2017,5.6,5.6,5.7
308,Mar-17,Mar,2017,5.3,5.1,5.5
309,Apr-17,Apr,2017,4.6,4.3,4.9
310,May-17,May,2017,4.7,4.7,4.6
311,Jun-17,Jun,2017,4.6,4.8,4.5
312,Jul-17,Jul,2017,4.8,5.2,4.4
313,Aug-17,Aug,2017,4.9,5.2,4.6
314,Sep-17,Sep,2017,4.5,4.7,4.3
315,Oct-17,Oct,2017,4.4,4.3,4.4
316,Nov-17,Nov,2017,4.4,4.5,4.2
317,Dec-17,Dec,2017,4.7,5.2,4.1
318,Jan-18,Jan,2018,5.6,5.6,5.5
319,Feb-18,Feb,2018,5.2,5.2,5.2
320,Mar-18,Mar,2018,5.3,5.1,5.5
321,Apr-18,Apr,2018,4.9,5.0,4.7
322,May-18,May,2018,4.8,4.8,4.9
323,Jun-18,Jun,2018,4.5,4.7,4.3
324,Jul-18,Jul,2018,4.8,4.9,4.7
325,Aug-18,Aug,2018,4.7,4.6,4.8
326,Sep-18,Sep,2018,4.3,4.3,4.2
327,Oct-18,Oct,2018,4.3,4.5,4.0
328,Nov-18,Nov,2018,4.0,4.3,3.7
329,Dec-18,Dec,2018,4.2,4.2,4.2
330,Jan-19,Jan,2019,4.3,4.5,3.9
331,Feb-19,Feb,2019,4.6,4.6,4.7
332,Mar-19,Mar,2019,4.6,4.5,4.7
333,Apr-19,Apr,2019,4.5,4.2,4.9
334,May-19,May,2019,4.5,4.5,4.6
335,Jun-19,Jun,2019,4.5,4.2,4.8
336,Jul-19,Jul,2019,4.4,4.1,4.7
337,Aug-19,Aug,2019,4.3,4.2,4.4
338,Sep-19,Sep,2019,4.4,4.3,4.4
339,Oct-19,Oct,2019,4.7,4.7,4.6
340,Nov-19,Nov,2019,4.3,4.5,4.1
341,Dec-19,Dec,2019,4.4,4.6,4.1
342,Jan-20,Jan,2020,4.8,5.1,4.4
343,Feb-20,Feb,2020,4.9,4.9,5.0
344,Mar-20,Mar,2020,5.1,5.5,4.7
345,Apr-20,Apr,2020,6.3,6.2,6.3
346,May-20,May,2020,6.3,6.2,6.5
347,Jun-20,Jun,2020,6.7,6.7,6.7
348,Jul-20,Jul,2020,7.1,7.3,6.9
349,Aug-20,Aug,2020,6.5,6.7,6.2
350,Sep-20,Sep,2020,6.8,7.5,6.0
351,Oct-20,Oct,2020,6.3,7.0,5.5
352,Nov-20,Nov,2020,6.0,6.2,5.8
