,Date,Month,Year,Australia ;  Unemployment rate ;  Persons ;,Australia ;  Unemployment rate ;  > Males ;,Australia ;  Unemployment rate ;  > Females ;
92,Mar-99,Mar,1999,7.3,7.2,7.5
93,Apr-99,Apr,1999,7.0,7.1,6.9
94,May-99,May,1999,7.0,7.2,6.8
95,Jun-99,Jun,1999,6.5,6.6,6.3
96,Jul-99,Jul,1999,6.2,6.4,5.9
97,Aug-99,Aug,1999,6.7,7.0,6.4
98,Sep-99,Sep,1999,7.1,7.3,6.8
99,Oct-99,Oct,1999,6.4,6.6,6.2
100,Nov-99,Nov,1999,6.1,6.2,5.8
101,Dec-99,Dec,1999,6.6,6.8,6.2
102,Jan-00,Jan,2000,7.3,7.5,7.0
103,Feb-00,Feb,2000,7.4,7.2,7.7
104,Mar-00,Mar,2000,6.9,6.7,7.1
105,Apr-00,Apr,2000,6.4,6.4,6.5
106,May-00,May,2000,6.4,6.4,6.4
107,Jun-00,Jun,2000,5.9,6.2,5.7
108,Jul-00,Jul,2000,5.5,5.8,5.1
109,Aug-00,Aug,2000,5.9,6.3,5.4
110,Sep-00,Sep,2000,6.0,6.4,5.5
111,Oct-00,Oct,2000,5.7,6.0,5.3
112,Nov-00,Nov,2000,5.9,6.2,5.5
113,Dec-00,Dec,2000,6.1,6.5,5.7
114,Jan-01,Jan,2001,6.6,7.1,6.0
115,Feb-01,Feb,2001,7.3,7.4,7.1
116,Mar-01,Mar,2001,6.8,6.9,6.6
117,Apr-01,Apr,2001,6.9,7.0,6.6
118,May-01,May,2001,6.9,7.0,6.7
119,Jun-01,Jun,2001,6.7,7.0,6.4
120,Jul-01,Jul,2001,6.3,6.7,5.9
121,Aug-01,Aug,2001,6.6,6.9,6.4
122,Sep-01,Sep,2001,6.9,7.2,6.5
123,Oct-01,Oct,2001,6.8,7.0,6.5
124,Nov-01,Nov,2001,6.5,6.8,6.0
125,Dec-01,Dec,2001,6.7,6.8,6.6
126,Jan-02,Jan,2002,7.6,7.8,7.3
127,Feb-02,Feb,2002,7.3,7.5,7.1
128,Mar-02,Mar,2002,6.7,7.0,6.4
129,Apr-02,Apr,2002,6.4,6.8,6.0
130,May-02,May,2002,6.4,6.7,6.0
131,Jun-02,Jun,2002,6.3,6.4,6.3
132,Jul-02,Jul,2002,5.7,5.8,5.5
133,Aug-02,Aug,2002,6.1,6.3,5.9
134,Sep-02,Sep,2002,6.4,6.4,6.2
135,Oct-02,Oct,2002,5.8,5.8,5.7
136,Nov-02,Nov,2002,5.7,5.8,5.7
137,Dec-02,Dec,2002,6.0,6.1,5.9
138,Jan-03,Jan,2003,6.7,6.9,6.4
139,Feb-03,Feb,2003,6.7,6.7,6.7
140,Mar-03,Mar,2003,6.4,6.2,6.7
141,Apr-03,Apr,2003,6.1,6.3,5.9
142,May-03,May,2003,6.1,6.1,6.0
143,Jun-03,Jun,2003,5.9,6.0,5.7
144,Jul-03,Jul,2003,5.6,5.6,5.6
145,Aug-03,Aug,2003,5.6,5.5,5.7
146,Sep-03,Sep,2003,5.8,5.7,5.9
147,Oct-03,Oct,2003,5.4,5.4,5.5
148,Nov-03,Nov,2003,5.3,5.1,5.5
149,Dec-03,Dec,2003,5.6,5.3,5.9
150,Jan-04,Jan,2004,6.1,5.9,6.3
151,Feb-04,Feb,2004,6.4,6.0,6.8
152,Mar-04,Mar,2004,5.7,5.4,6.1
153,Apr-04,Apr,2004,5.6,5.5,5.7
154,May-04,May,2004,5.3,5.2,5.5
155,Jun-04,Jun,2004,5.3,5.3,5.4
156,Jul-04,Jul,2004,5.1,4.9,5.3
157,Aug-04,Aug,2004,5.3,5.2,5.4
